"date","PM25"
"2016-12-10",78734
"2016-12-11",902921
"2016-12-12",997743
"2016-12-13",737145
"2016-12-14",117668
"2016-12-15",638109
"2016-12-16",13061
"2016-12-17",950806
"2016-12-18",101237
"2016-12-19",987106
"2016-12-20",160518
"2016-12-21",119062
"2016-12-22",150042
"2016-12-23",126581
"2016-12-24",105887
"2016-12-25",142799
"2016-12-26",799983
"2016-12-27",528089
"2016-12-30",440028
"2016-12-31",141314
"2017-01-01",101699
"2017-01-02",909242
"2017-01-03",117454
"2017-01-04",100945
"2017-01-05",117048
"2017-01-06",959293
"2017-01-07",849617
"2017-01-08",117041
"2017-01-09",132418
"2017-01-10",149932
"2017-01-11",71767
"2017-01-12",778456
"2017-01-13",358587
"2017-01-14",294068
"2017-01-15",460421
"2017-01-16",111307
"2017-01-17",170933
"2017-01-18",85903
"2017-01-19",745746
"2017-01-20",581318
"2017-01-21",891519
"2017-01-22",577276
"2017-01-23",809625
"2017-01-24",498309
"2017-01-25",38432
"2017-01-26",509753
"2017-01-27",37853
"2017-01-28",429093
"2017-01-29",676823
"2017-01-30",550289
"2017-01-31",388272
"2017-02-01",366454
"2017-02-02",713235
"2017-02-03",750167
"2017-02-04",524255
"2017-02-05",781564
"2017-02-06",532957
"2017-02-07",663324
"2017-02-08",767998
"2017-02-09",854402
"2017-02-10",655464
"2017-02-11",725546
"2017-02-12",412464
"2017-02-13",690494
"2017-02-14",529134
"2017-02-15",658591
"2017-02-16",903441
"2017-02-17",94198
"2017-02-18",145923
"2017-02-19",733118
"2017-02-20",440338
"2017-02-21",534485
"2017-02-22",377938
"2017-02-23",262304
"2017-02-24",338777
"2017-02-25",263633
"2017-02-26",496429
"2017-02-27",925458
"2017-02-28",138567
"2017-03-01",182939
"2017-03-02",140709
"2017-03-03",125841
"2017-03-04",106001
"2017-03-05",114711
"2017-03-06",205581
"2017-03-07",152898
"2017-03-08",914177
"2017-03-09",238103
"2017-03-10",258189
"2017-03-11",304164
"2017-03-12",235511
"2017-03-13",137006
"2017-03-14",100583
"2017-03-15",740266
"2017-03-16",540791
"2017-03-17",422132
"2017-03-18",304774
"2017-03-19",111446
"2017-03-20",114574
"2017-03-21",460847
"2017-03-22",116795
"2017-03-23",555244
"2017-03-24",101849
"2017-03-25",202624
"2017-03-26",856921
"2017-03-27",176083
"2017-03-28",530623
"2017-03-29",313702
"2017-03-30",320439
"2017-03-31",325746
"2017-04-01",335924
"2017-04-02",111541
"2017-04-03",182365
"2017-04-04",275666
"2017-04-05",171551
"2017-04-06",331994
"2017-04-07",262199
"2017-04-08",470197
"2017-04-09",421091
"2017-04-10",170032
"2017-04-11",552541
"2017-04-12",110567
"2017-04-13",368442
"2017-04-14",146854
"2017-04-15",539277
"2017-04-16",554913
"2017-04-17",341262
"2017-04-18",214112
"2017-04-19",184165
"2017-04-20",187315
"2017-04-21",256195
"2017-04-22",447957
"2017-04-23",414331
"2017-04-24",27867
"2017-04-25",352057
"2017-04-26",234586
"2017-04-27",229139
"2017-04-28",675326
"2017-04-29",312173
"2017-04-30",123518
"2017-05-01",12
"2017-05-02",100
"2017-05-03",13
"2017-05-04",15
"2017-05-05",9
"2017-05-06",12
"2017-05-07",23
"2017-05-08",40
"2017-05-09",35
"2017-05-10",98
"2017-05-11",64
"2017-05-12",21
"2017-05-13",8
"2017-05-14",22
"2017-05-15",11
"2017-05-16",10
"2017-05-17",45
"2017-05-18",96
"2017-05-19",76
"2017-05-20",11
"2017-05-21",29
"2017-05-22",50
"2017-05-23",183
"2017-05-24",165
"2017-05-25",167
"2017-05-27",120
"2017-05-28",45
"2017-05-29",64
"2017-05-30",40
"2017-05-31",89
"2017-06-01",36
"2017-06-02",24
"2017-06-03",49
"2017-06-04",80
"2017-06-05",32
"2017-06-06",16
"2017-06-07",39
"2017-06-08",30
"2017-06-09",24
