"date","PM25","city"
"2016-07-30",155223,"puerto_montt"
"2016-07-31",135547,"puerto_montt"
"2016-08-01",589916,"puerto_montt"
"2016-08-02",437674,"puerto_montt"
"2016-08-03",102354,"puerto_montt"
"2016-08-04",167391,"puerto_montt"
"2016-08-05",224484,"puerto_montt"
"2016-08-06",133652,"puerto_montt"
"2016-08-07",208594,"puerto_montt"
"2016-08-08",219057,"puerto_montt"
"2016-08-09",333325,"puerto_montt"
"2016-08-10",444294,"puerto_montt"
"2016-08-11",455898,"puerto_montt"
"2016-08-12",168159,"puerto_montt"
"2016-08-13",197162,"puerto_montt"
"2016-08-14",175843,"puerto_montt"
"2016-08-15",145868,"puerto_montt"
"2016-08-16",231284,"puerto_montt"
"2016-08-17",202273,"puerto_montt"
"2016-08-18",254689,"puerto_montt"
"2016-08-19",176045,"puerto_montt"
"2016-08-20",655536,"puerto_montt"
"2016-08-21",211082,"puerto_montt"
"2016-08-22",118154,"puerto_montt"
"2016-08-23",819169,"puerto_montt"
"2016-08-24",158082,"puerto_montt"
"2016-08-25",220204,"puerto_montt"
"2016-08-26",6509,"puerto_montt"
"2016-08-27",62701,"puerto_montt"
"2016-08-28",159462,"puerto_montt"
"2016-08-29",81955,"puerto_montt"
"2016-08-30",214408,"puerto_montt"
"2016-08-31",34813,"puerto_montt"
"2016-09-01",318083,"puerto_montt"
"2016-09-02",630624,"puerto_montt"
"2016-09-03",394573,"puerto_montt"
"2016-09-04",569869,"puerto_montt"
"2016-09-05",389184,"puerto_montt"
"2016-09-06",228139,"puerto_montt"
"2016-09-07",189499,"puerto_montt"
"2016-09-08",186193,"puerto_montt"
"2016-09-09",388144,"puerto_montt"
"2016-09-10",622051,"puerto_montt"
"2016-09-11",348421,"puerto_montt"
"2016-09-12",113709,"puerto_montt"
"2016-09-13",117344,"puerto_montt"
"2016-09-14",315241,"puerto_montt"
"2016-09-15",144089,"puerto_montt"
"2016-09-16",130097,"puerto_montt"
"2016-09-17",251777,"puerto_montt"
"2016-09-18",44924,"puerto_montt"
"2016-09-19",403809,"puerto_montt"
"2016-09-20",313974,"puerto_montt"
"2016-09-21",269755,"puerto_montt"
"2016-09-22",949991,"puerto_montt"
"2016-09-23",925273,"puerto_montt"
"2016-09-24",182483,"puerto_montt"
"2016-09-25",217961,"puerto_montt"
"2016-09-26",217435,"puerto_montt"
"2016-09-27",677863,"puerto_montt"
"2016-09-28",2446,"puerto_montt"
"2016-09-29",167093,"puerto_montt"
"2016-09-30",250523,"puerto_montt"
"2016-10-01",252377,"puerto_montt"
"2016-10-02",454556,"puerto_montt"
"2016-10-03",189293,"puerto_montt"
"2016-10-04",429699,"puerto_montt"
"2016-10-05",260214,"puerto_montt"
"2016-10-06",902203,"puerto_montt"
"2016-10-07",213991,"puerto_montt"
"2016-10-08",243722,"puerto_montt"
"2016-10-09",166495,"puerto_montt"
"2016-10-10",308599,"puerto_montt"
"2016-10-11",124778,"puerto_montt"
"2016-10-12",185601,"puerto_montt"
"2016-10-13",308,"puerto_montt"
"2016-10-14",258648,"puerto_montt"
"2016-10-15",104996,"puerto_montt"
"2016-10-16",153302,"puerto_montt"
"2016-10-17",110417,"puerto_montt"
"2016-10-18",288432,"puerto_montt"
"2016-10-19",21232,"puerto_montt"
"2016-10-20",115128,"puerto_montt"
"2016-10-21",171103,"puerto_montt"
"2016-10-22",133959,"puerto_montt"
"2016-10-23",108804,"puerto_montt"
"2016-10-24",107923,"puerto_montt"
"2016-10-25",107384,"puerto_montt"
"2016-10-26",604707,"puerto_montt"
"2016-10-27",883406,"puerto_montt"
"2016-10-28",792486,"puerto_montt"
"2016-10-29",95096,"puerto_montt"
"2016-10-30",105876,"puerto_montt"
"2016-10-31",202141,"puerto_montt"
"2016-11-01",203801,"puerto_montt"
"2016-11-02",774096,"puerto_montt"
"2016-11-03",185227,"puerto_montt"
"2016-11-04",121395,"puerto_montt"
"2016-11-05",732428,"puerto_montt"
"2016-11-06",431291,"puerto_montt"
"2016-11-07",420061,"puerto_montt"
"2016-11-08",448225,"puerto_montt"
"2016-11-09",736447,"puerto_montt"
"2016-11-10",742312,"puerto_montt"
"2016-11-11",49622,"puerto_montt"
"2016-11-12",809552,"puerto_montt"
"2016-11-13",128792,"puerto_montt"
"2016-11-14",145145,"puerto_montt"
"2016-11-15",162636,"puerto_montt"
"2016-11-16",658783,"puerto_montt"
"2016-11-17",582391,"puerto_montt"
"2016-11-18",489723,"puerto_montt"
"2016-11-19",460978,"puerto_montt"
"2016-11-20",491117,"puerto_montt"
"2016-11-21",783576,"puerto_montt"
"2016-11-22",105614,"puerto_montt"
"2016-11-23",7316,"puerto_montt"
"2016-11-24",878535,"puerto_montt"
"2016-11-25",134836,"puerto_montt"
"2016-11-26",158487,"puerto_montt"
"2016-11-27",949156,"puerto_montt"
"2016-11-28",281386,"puerto_montt"
"2016-11-29",441225,"puerto_montt"
"2016-12-02",827739,"puerto_montt"
"2016-12-03",867705,"puerto_montt"
"2016-12-04",143813,"puerto_montt"
"2016-12-05",140665,"puerto_montt"
"2016-12-06",709524,"puerto_montt"
"2016-12-07",487413,"puerto_montt"
"2016-12-08",380138,"puerto_montt"
"2016-12-09",736971,"puerto_montt"
"2016-12-10",78734,"puerto_montt"
"2016-12-11",902921,"puerto_montt"
"2016-12-12",997743,"puerto_montt"
"2016-12-13",737145,"puerto_montt"
"2016-12-14",117668,"puerto_montt"
"2016-12-15",638109,"puerto_montt"
"2016-12-16",13061,"puerto_montt"
"2016-12-17",950806,"puerto_montt"
"2016-12-18",101237,"puerto_montt"
"2016-12-19",987106,"puerto_montt"
"2016-12-20",160518,"puerto_montt"
"2016-12-21",119062,"puerto_montt"
"2016-12-22",150042,"puerto_montt"
"2016-12-23",126581,"puerto_montt"
"2016-12-24",105887,"puerto_montt"
"2016-12-25",142799,"puerto_montt"
"2016-12-26",799983,"puerto_montt"
"2016-12-27",528089,"puerto_montt"
"2016-12-30",440028,"puerto_montt"
"2016-12-31",141314,"puerto_montt"
"2017-01-01",101699,"puerto_montt"
"2017-01-02",909242,"puerto_montt"
